ax,ay,az,gx,gy,gz
-0.000,0.976,-0.006,4.089,0.610,1.526
0.003,0.982,-0.007,3.052,-0.122,1.343
0.000,0.983,-0.008,3.601,-0.061,1.282
0.000,0.977,-0.006,4.028,0.610,1.160
-0.003,0.980,-0.005,3.235,0.244,1.282
0.000,0.977,-0.005,3.845,0.671,1.465
0.001,0.979,-0.007,3.052,0.305,1.465
-0.001,0.979,-0.010,2.869,0.366,1.221
-0.003,0.981,-0.004,2.869,0.977,1.099
0.000,0.977,-0.005,3.052,1.465,1.099
0.001,0.981,-0.003,2.319,1.587,1.343
0.000,0.984,-0.000,2.991,2.136,1.038
0.003,0.979,-0.004,3.174,1.648,1.221
0.005,0.981,-0.000,2.502,1.587,1.160
0.007,0.982,-0.002,3.052,0.977,1.404
0.006,0.980,-0.002,3.174,0.793,1.343
0.002,0.979,-0.000,2.991,0.793,1.160
0.000,0.978,-0.002,2.625,0.977,1.099
0.004,0.981,0.000,2.625,1.099,1.099
0.007,0.978,-0.001,2.502,1.099,1.038
0.006,0.983,-0.004,2.441,0.488,1.099
0.013,0.981,-0.008,2.625,-0.244,1.709
0.013,0.983,-0.007,2.563,-0.305,1.526
-0.002,0.982,-0.004,2.869,0.488,1.038
-0.006,0.978,-0.011,4.211,1.648,1.221
0.006,0.975,-0.015,2.197,0.793,1.709
0.001,0.981,0.000,2.441,0.122,1.099
-0.001,0.980,-0.011,2.930,-0.793,1.038
-0.004,0.981,-0.007,2.075,-1.099,0.854
-0.009,0.977,-0.004,1.831,-0.854,0.916
-0.006,0.986,-0.008,3.418,-0.183,0.977
-0.004,0.976,-0.010,2.075,0.000,1.099
-0.006,0.979,-0.005,2.625,1.099,0.854
-0.002,0.982,-0.011,2.319,1.526,0.977
0.002,0.983,-0.013,2.380,2.380,1.221
0.039,0.979,-0.007,2.441,2.441,-0.305
0.041,0.988,0.007,2.991,0.122,-2.686
0.036,0.994,0.014,4.883,1.587,-2.136
0.030,0.956,-0.004,5.066,1.282,1.038
0.045,0.944,-0.018,1.770,-1.465,2.441
0.073,0.984,-0.061,-1.221,-6.042,2.869
0.062,0.990,-0.033,-2.625,-8.240,2.563
0.037,0.979,-0.017,3.540,-8.606,1.221
0.026,0.952,-0.036,0.671,-7.141,2.197
0.007,0.971,-0.044,-3.479,-6.531,1.648
-0.020,0.981,-0.043,-2.991,-3.723,2.747
-0.039,0.952,-0.050,-3.296,4.395,3.723
-0.020,0.968,-0.057,-9.338,6.409,5.127
0.001,0.993,-0.055,-7.507,7.812,6.836
-0.005,0.977,-0.079,-4.150,8.179,1.282
-0.067,0.995,-0.107,5.615,11.963,-8.606
-0.109,1.000,-0.133,2.319,28.137,-0.732
-0.088,0.965,-0.114,-2.441,32.959,2.747
-0.021,1.031,-0.099,-2.258,34.302,3.540
-0.014,0.980,-0.108,9.338,39.978,0.061
-0.020,0.987,-0.121,7.324,37.720,-2.136
-0.009,0.991,-0.121,8.667,32.593,-0.183
-0.021,0.984,-0.132,9.705,33.813,-1.343
-0.018,0.984,-0.131,11.292,33.264,-1.587
0.001,0.978,-0.126,12.390,33.203,-2.563
0.011,0.987,-0.137,15.137,31.494,-4.822
0.035,0.999,-0.157,18.555,30.090,-6.287
0.071,0.948,-0.155,26.123,26.367,-6.531
0.162,1.058,-0.050,14.038,14.648,6.348
0.032,0.931,-0.027,23.926,5.188,23.987
